unit_id,unit_name,client_label,fwa_gnis_name,aw_include_prefix,aw_exclude_prefix,named_watershed_area_ha,watershed_group,notes
coldstream,Coldstream Creek,Coldstream Creek (near Vernon),Coldstream Creek,300-432687-941950-228656-,,20605,OKAN,
vernon_excl_coldstream,Vernon Creek (excl. Coldstream/BX/Clark),Vernon Creek (Lake Country),Vernon Creek,300-432687-941950-,300-432687-941950-228656-; 300-432687-941950-157470-; 300-432687-941950-612275-,38838.8,OKAN,"WORKING DEFINITION (2026-07-17, extended 2026-07-21): full Vernon Creek drainage minus listed upstream units (Coldstream, B.X., Clark). FWA has no predefined 'Upper/Middle Vernon Creek' watershed; Middle Vernon removed at client request 2026-07-22 (a local management label, not an FWA watershed - client confirmed keeping Vernon Creek only, which covers that area). named area = 54640 (Vernon-minus-Coldstream) minus the B.X. and Clark assessment-tile areas. Nesting rule: downstream unit excludes listed upstream units."
mission,Mission Creek (excl. Belgo),Mission Creek (Kelowna),Mission Creek,300-432687-797326-,300-432687-797326-488172-,66529.9,OKAN,"Belgo Creek carved out and reported separately per nesting rule (client listed both). Mission drainage also takes in KLO, Priest, Hydraulic and others (not listed, so not carved)."
lambly,Lambly Creek,"Lambly Creek (aka Bear Creek, West Kelowna)",Lambly Creek,300-432687-826171-,,24396,OKAN,FWA/GNIS name is Lambly Creek; 'Bear Creek' is a local alias - no separate Bear Creek named watershed in the OKAN group.
whiteman,Whiteman Creek,Whiteman Creek (north end of Okanagan Lake),Whiteman Creek,300-432687-948928-,,20255,OKAN,"Client listed twice - one unit."
trout,Trout Creek,Trout Creek (Summerland),Trout Creek,300-432687-657912-,,74645,OKAN,Five Trout Creeks in BC; this is the OKAN-group one.
shingle_incl_shatford,Shingle Creek (incl. Shatford),Shingle/Shatford Creek (Penticton),Shingle Creek,300-432687-624482-,,29860,OKAN,"Shatford Creek (14,021 ha) nests inside Shingle; one unit per the client's single line. Sub-prefix 300-432687-624482-311793- available if they want it split out."
vaseux,Vaseux Creek,Vaseux Creek (Oliver),Vaseux Creek,300-432687-532922-,,29431,OKAN,
inkaneep,Inkaneep Creek,Inkaneep Creek (Osoyoos),Inkaneep Creek,300-432687-457312-,,17918,OKAN,
equesis,Equesis Creek,Equesis Creek (W side of Okanagan Lake),Equesis Creek,300-432687-968397-,,20345.7,OKAN,"Client listed twice - one unit. Direct tributary to Okanagan Lake."
shorts,Shorts Creek,Shorts Creek (Fintry),Shorts Creek,300-432687-904947-,,18556.9,OKAN,"Client listed as both 'Shorts' and 'Shorts Creek' - same stream, one unit."
powers,Powers Creek,Powers Creek (West Kelowna/Peachland),Powers Creek,300-432687-769621-,,14531.1,OKAN,"Includes North Powers Creek (not listed separately, so not carved)."
mcdougall,McDougall Creek,McDougall Creek (West Kelowna),McDougall Creek,300-432687-774999-,,5346.9,OKAN,
mill,Mill Creek,Mill Creek (Kelowna),Mill Creek,300-432687-809309-,,22368.8,OKAN,"OKAN-group Mill Creek (Kelowna); several Mill Creeks exist in BC - confirm if the client means another."
shuttleworth,Shuttleworth Creek,Shuttleworth Creek (Okanagan Falls),Shuttleworth Creek,300-432687-570641-,,8996.0,OKAN,
penticton,Penticton Creek,Penticton Creek,Penticton Creek,300-432687-637835-,,18003.8,OKAN,"Includes Dennis Creek and Two-Forty (240) Creek (client listed separately, but both are sub-tile tributaries inside Penticton with no dedicated assessment watershed - cannot be split at this resolution; their water is counted within Penticton)."
ellis,Ellis Creek,Ellis Creek (Penticton),Ellis Creek,300-432687-623544-,,16068.9,OKAN,"Includes North & South Ellis Creek (not listed separately)."
naramata,Naramata Creek,Naramata Creek,Naramata Creek,300-432687-668498-,,4180.5,OKAN,
mclean,McLean Creek,McLean Creek,McLean Creek,300-432687-587922-,,6321.7,OKAN,"Direct tributary to Okanagan Lake (not nested in Mission or Coldstream)."
trepanier,Trepanier Creek,Trepanier Creek (Peachland),Trepanier Creek,300-432687-745548-,,26004.3,OKAN,
belgo,Belgo Creek,Belgo Creek (Mission Creek tributary),Belgo Creek,300-432687-797326-488172-,,17980.1,OKAN,"Tributary of Mission Creek; carved out and reported separately per nesting rule (client listed both). Clean 4-tile carve."
bx,B.X. Creek,B.X. Creek (Vernon),B.X. Creek,300-432687-941950-157470-,,13198.5,OKAN,"Tributary within the Vernon Creek drainage; carved out per nesting rule. FWA named-watershed area (13198.5 ha) exceeds its single assessment tile (13007.3 ha) by ~191 ha (named vs assessment-watershed product divergence) - screening-level; the ~191 ha stays in the Vernon tiles."
clark,Clark Creek,Clark Creek (Vernon),Clark Creek,300-432687-941950-612275-,,2793.9,OKAN,"Tributary within the Vernon Creek drainage; carved out per nesting rule. A second Clark Creek exists in the Shingle drainage but has no dedicated assessment tile - this unit is the Vernon Clark (feature 12595)."
greata,Greata Creek,Greata Creek (Peachland area),Greata Creek,300-432687-729598-346325-,,4452.5,OKAN,"Matched from the client's 'Greta' - Greata Creek, a tributary of Peachland Creek (Peachland not on the list). Confirmed by client 2026-07-22 (the 'Greta' typo = Greata Creek)."
