unit_id,watershed_feature_id,fwa_watershed_code,gnis_name,area_ha
belgo,12561,300-432687-797326-488172-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,Belgo Creek,5007.7
belgo,12562,300-432687-797326-488172-119294-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,Darley Creek,3091.2
belgo,12563,300-432687-797326-488172-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,Belgo Creek,3505.2
belgo,12564,300-432687-797326-488172-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,Belgo Creek,6376.0
bx,12588,300-432687-941950-157470-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,B.X. Creek,13007.3
clark,12595,300-432687-941950-612275-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,Clark Creek,2793.9
coldstream,12589,300-432687-941950-228656-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,Coldstream Creek,5299.5
coldstream,12590,300-432687-941950-228656-197821-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,,3691.5
coldstream,12591,300-432687-941950-228656-447023-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,Craster Creek,4067.3
coldstream,12592,300-432687-941950-228656-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,Coldstream Creek,7546.4
ellis,12502,300-432687-623544-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,Ellis Creek,7894.3
ellis,12503,300-432687-623544-389240-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,North Ellis Creek,2417.8
